query,answer,retrieved_docs,user_feedback,clicked,created_at
数据同步失败怎么办,可先查看同步任务日志，确认数据源连接、字段映射和权限是否正常，再手动重试任务。,技术排查：同步失败常见原因包括数据源连接异常、字段映射错误、权限不足。,满意,1,2026-06-01 12:00:00
上传文件大小限制是多少,系统支持上传文件，请在知识库页面选择文件后提交。,产品功能：单个文件最大支持200MB，批量上传最多100个文件。,满意,1,2026-06-01 12:12:00
知识库能否导入PDF,能。,产品功能：知识库支持PDF、Word、Markdown、网页链接等格式导入。,不满意,0,2026-06-01 12:24:00
搜索支持多语言吗,价格请咨询销售。,产品功能：搜索支持中文、英文和部分日文内容，跨语言检索需要开启多语言索引。,不满意,0,2026-06-01 12:36:00
怎么绑定企业微信通知,在系统设置里配置回调地址。,,满意,0,2026-06-01 12:48:00
发票在哪里申请,可以在费用中心的发票管理页面填写抬头、税号和邮箱，审核通过后发送电子发票。,发票说明：用户可在费用中心-发票管理中申请发票，需要填写抬头、税号和邮箱。,满意,1,2026-06-01 13:00:00
报表导出失败是什么原因,导出失败通常和数据量过大、浏览器拦截下载、账号无导出权限有关，可以缩小时间范围后重试。,报表导出：常见失败原因包括数据量过大、浏览器拦截、账号缺少导出权限。,满意,1,2026-06-01 13:12:00
为什么检索不到企业微信通知文档,可能是知识库还没有配置相关内容，建议检查文档是否已上传并完成索引。,,满意,0,2026-06-01 13:24:00
为什么回答引用了旧政策,可能是模型理解偏差导致。,搜索诊断：回答引用旧政策通常与索引未更新、召回文档版本过旧或排序权重异常有关。,不满意,0,2026-06-01 13:36:00
AI搜索准确率怎么提升,可以从三方面优化搜索：补齐知识库内容、提升召回排序质量、对Bad Case做持续归因和规则迭代。,知识咨询：搜索准确率优化通常包括知识库治理、召回排序优化、回答生成约束和Bad Case分析。,满意,1,2026-06-01 13:48:00
什么是向量检索,向量检索是把文本转换成向量后，根据语义相似度查找相关内容，适合处理同义表达和自然语言问题。,知识咨询：向量检索通过 embedding 表示文本语义，并用相似度搜索召回相关文档。,满意,1,2026-06-01 14:00:00
RAG和普通问答有什么区别,RAG会先检索外部知识，再基于检索结果生成回答；普通问答更多依赖模型已有参数知识。,知识咨询：RAG包含检索和生成两个阶段，可降低知识过期和幻觉风险。,满意,1,2026-06-01 14:12:00
为什么同一个问题每次答案不一样,因为模型生成具有随机性，也可能受到召回文档、排序结果和提示词约束变化影响。,知识咨询：回答不稳定可能来自模型采样、召回结果变化、Prompt约束不足和知识版本差异。,满意,1,2026-06-01 14:24:00
会员到期后数据还在吗,在。,账号权益：会员到期后数据保留90天，期间可续费恢复高级功能。,不满意,0,2026-06-01 14:36:00
为什么搜索结果为空,可能没有配置知识库。,,不满意,0,2026-06-01 14:48:00
如何删除知识库文档,可以在知识库列表选择目标文档，点击删除。删除后会同步移除对应索引，通常几分钟内生效。,知识库管理：删除文档后系统会删除文件记录，并异步清理搜索索引。,满意,1,2026-06-01 15:00:00
能不能限制成员只能看某个项目,可以通过项目级角色实现。管理员在项目设置中添加成员，并分配只读、编辑或管理员权限。,权限管理：项目级权限支持只读、编辑、管理员三类角色，可限制成员访问范围。,满意,1,2026-06-01 15:12:00
知识库文档上传后为什么搜不到,上传后通常需要5到10分钟完成解析和索引同步，如果仍搜不到，需要检查文档状态和权限范围。,知识库索引：上传后需等待5-10分钟完成解析和索引；权限范围会影响可搜索内容。,满意,1,2026-06-01 15:24:00
你们支持哪些支付方式,请查看帮助中心。,价格费用：平台支持支付宝、微信支付、银行转账；企业客户可申请对公付款。,不满意,0,2026-06-01 15:36:00
如何查看团队成员操作日志,管理员可以在安全中心查看操作日志，支持按成员、时间、操作类型筛选。,账号权限：安全中心提供成员操作日志，可按账号、时间范围、操作类型查询。,满意,1,2026-06-01 15:48:00
知识库覆盖率是什么意思,知识库覆盖率可以理解为用户问题能否在知识库中找到足够支撑材料的比例。,知识咨询：知识库覆盖率用于衡量用户问题和知识库内容之间的匹配程度。,满意,1,2026-06-01 16:00:00
API鉴权失败怎么处理,建议检查 Access Token 是否过期、签名算法是否正确、请求时间戳是否超出允许范围。,技术文档：鉴权失败常见原因包括 token 过期、签名错误、时间戳过期和权限不足。,满意,1,2026-06-01 16:12:00
